City,CloseDate,EntityIDRoundID,IndustryCode,Industry Group,Industry Segment,Metropolitan Statistical Area,PrimaryRegion,RoundBusStat,RoundClassDescr,State,Subregion,Deals,Number of Deals,Raised,13353.92218,,
,,,,Saint Charles Parish,,,,,Norco,LA,,241,,3144,3.144,,24.1
,,,,Saint Charles Parish,,,,,Saint Rose,LA,,1414,,8123,8.123,,141.4
,,,,Saint James Parish,,,,,Vacherie,LA,,887,,7102,7.102,,88.7
,,,,Saint Mary Parish,,,,,Morgan City,LA,,4305,,22282,22.282,,430.5
,,,,Saint Tammany Parish,,,,,Abita Springs,LA,,953,,8386,8.386,,95.3
,,,,Saint Tammany Parish,,,,,Bush,LA,,311,,5703,5.703,,31.1
,,,,Saint Tammany Parish,,,,,Covington,LA,,3493,,37173,37.173,,349.3
,,,,Saint Tammany Parish,,,,,Covington,LA,,1755,,18417,18.417,,175.5
,,,,Saint Tammany Parish,,,,,Folsom,LA,,1100,,8701,8.701,,110
,,,,Saint Tammany Parish,,,,,Lacombe,LA,,1469,,10341,10.341,,146.9
,,,,Saint Tammany Parish,,,,,Madisonville,LA,,740,,12890,12.89,,74
,,,,Saint Tammany Parish,,,,,Mandeville,LA,,1480,,25344,25.344,,148
,,,,Saint Tammany Parish,,,,,Pearl River,LA,,1957,,12678,12.678,,195.7
,,,,Saint Tammany Parish,,,,,Slidell,LA,,4487,,37128,37.128,,448.7
,,,,Saint Tammany Parish,,,,,Slidell,LA,,4918,,22815,22.815,,491.8
,,,,Saint Tammany Parish,,,,,Slidell,LA,,2572,,27953,27.953,,257.2
,,,,Saint Tammany Parish,,,,,Mandeville,LA,,1309,,21259,21.259,,130.9
,,,,Lafayette Parish,,,,,Broussard,LA,,1256,,14137,14.137,,125.6
,,,,Saint Mary Parish,,,,,Jeanerette,LA,,2797,,11649,11.649,,279.7
,,,,Calcasieu Parish,,,,,Lake Charles,LA,,5853,,27191,27.191,,585.3
,,,,West Baton Rouge Parish,,,,,Addis,LA,,459,,4691,4.691,,45.9
,,,,East Baton Rouge Parish,,,,,Baker,LA,,3646,,20067,20.067,,364.6
,,,,West Baton Rouge Parish,,,,,Brusly,LA,,1016,,4698,4.698,,101.6
,,,,East Baton Rouge Parish,,,,,Greenwell Springs,LA,,1799,,14532,14.532,,179.9
,,,,East Feliciana Parish,,,,,Jackson,LA,,1081,,7153,7.153,,108.1
,,,,Saint James Parish,,,,,Paulina,LA,,372,,4391,4.391,,37.2
,,,,West Baton Rouge Parish,,,,,Port Allen,LA,,2578,,15445,15.445,,257.8
,,,,East Baton Rouge Parish,,,,,Pride,LA,,67,,3166,3.166,,6.7
,,,,East Feliciana Parish,,,,,Slaughter,LA,,325,,3779,3.779,,32.5
,,,,East Baton Rouge Parish,,,,,Zachary,LA,,2409,,26685,26.685,,240.9
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,9651,,25427,25.427,,965.1
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,10987,,27800,27.8,,1098.7
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,6538,,28977,28.977,,653.8
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,5123,,18656,18.656,,512.3
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,4688,,32404,32.404,,468.8
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,1767,,25316,25.316,,176.7
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,4046,,39499,39.499,,404.6
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,2839,,12662,12.662,,283.9
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,2658,,11088,11.088,,265.8
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,2180,,14905,14.905,,218
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,4626,,30083,30.083,,462.6
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,6172,,42314,42.314,,617.2
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,2801,,35398,35.398,,280.1
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,506,,9547,9.547,,50.6
,,,,East Baton Rouge Parish,,,,,Baton Rouge,LA,,10520,,21362,21.362,,1052
,,,,Caddo Parish,,,,,Greenwood,LA,,396,,3380,3.38,,39.6
,,,,Bossier Parish,,,,,Haughton,LA,,2426,,18366,18.366,,242.6
,,,,Caddo Parish,,,,,Keithville,LA,,1708,,11727,11.727,,170.8
,,,,Bossier Parish,,,,,Elm Grove,LA,,294,,2389,2.389,,29.4
,,,,Caddo Parish,,,,,Mooringsport,LA,,588,,2908,2.908,,58.8
,,,,Caddo Parish,,,,,Shreveport,LA,,3719,,14003,14.003,,371.9
,,,,Caddo Parish,,,,,Shreveport,LA,,2808,,21845,21.845,,280.8
,,,,Caddo Parish,,,,,Shreveport,LA,,8632,,33206,33.206,,863.2
,,,,Bossier Parish,,,,,Bossier City,LA,,4716,,33055,33.055,,471.6
,,,,Caddo Parish,,,,,Shreveport,LA,,1303,,15535,15.535,,130.3
,,,,Ouachita Parish,,,,,Monroe,LA,,3528,,21336,21.336,,352.8
,,,,Ouachita Parish,,,,,Monroe,LA,,8069,,37744,37.744,,806.9
,,,,Morehouse Parish,,,,,Bastrop,LA,,6228,,22382,22.382,,622.8
,,,,Union Parish,,,,,Bernice,LA,,1272,,3568,3.568,,127.2
,,,,Ouachita Parish,,,,,Calhoun,LA,,1367,,7042,7.042,,136.7
,,,,Lincoln Parish,,,,,Choudrant,LA,,510,,3974,3.974,,51
,,,,Union Parish,,,,,Downsville,LA,,445,,3997,3.997,,44.5
,,,,Lincoln Parish,,,,,Dubach,LA,,559,,4650,4.65,,55.9
,,,,Ouachita Parish,,,,,Eros,LA,,372,,3015,3.015,,37.2
,,,,Union Parish,,,,,Farmerville,LA,,2052,,9488,9.488,,205.2
,,,,East Carroll Parish,,,,,Lake Providence,LA,,2338,,6840,6.84,,233.8
,,,,Union Parish,,,,,Marion,LA,,454,,2925,2.925,,45.4
,,,,West Carroll Parish,,,,,Oak Grove,LA,,1751,,8188,8.188,,175.1
,,,,Lincoln Parish,,,,,Ruston,LA,,10945,,31240,31.24,,1094.5
,,,,Ouachita Parish,,,,,Sterlington,LA,,900,,4466,4.466,,90
,,,,Ouachita Parish,,,,,West Monroe,LA,,5017,,31681,31.681,,501.7
,,,,Ouachita Parish,,,,,West Monroe,LA,,5036,,20856,20.856,,503.6
,,,,Rapides Parish,,,,,Alexandria,LA,,6285,,23297,23.297,,628.5
,,,,Rapides Parish,,,,,Alexandria,LA,,3367,,14146,14.146,,336.7
,,,,Rapides Parish,,,,,Alexandria,LA,,3033,,21741,21.741,,303.3
,,,,Rapides Parish,,,,,Deville,LA,,820,,6925,6.925,,82
,,,,Rapides Parish,,,,,Pineville,LA,,6150,,36928,36.928,,615
,,,,Rapides Parish,,,,,Ball,LA,,1186,,6333,6.333,,118.6
,,,,Rapides Parish,,,,,Boyce,LA,,1038,,5598,5.598,,103.8
,,,,Grant Parish,,,,,Dry Prong,LA,,609,,4934,4.934,,60.9
,,,,Rapides Parish,,,,,Glenmora,LA,,786,,4232,4.232,,78.6
,,,,Rapides Parish,,,,,Woodworth,LA,,149,,2097,2.097,,14.9
,,,,Jefferson County,,,,,White Hall,AR,,3925,,16246,16.246,,392.5
,,,,Jefferson County,,,,,Pine Bluff,AR,,6895,,31884,31.884,,689.5
,,,,Sevier County,,,,,De Queen,AR,,2312,,10907,10.907,,231.2
,,,,Little River County,,,,,Foreman,AR,,607,,2720,2.72,,60.7
,,,,Miller County,,,,,Fouke,AR,,568,,5409,5.409,,56.8
,,,,Howard County,,,,,Mineral Springs,AR,,269,,2210,2.21,,26.9
,,,,Miller County,,,,,Texarkana,AR,,7990,,36663,36.663,,799
,,,,Garland County,,,,,Hot Springs,AR,,7432,,30275,30.275,,743.2
,,,,Saline County,,,,,Hot Springs Village,AR,,1184,,15017,15.017,,118.4
,,,,Garland County,,,,,Hot Springs,AR,,7627,,45631,45.631,,762.7
,,,,Polk County,,,,,Mena,AR,,3518,,14295,14.295,,351.8
,,,,Garland County,,,,,Pearcy,AR,,600,,3726,3.726,,60
,,,,Garland County,,,,,Royal,AR,,274,,3914,3.914,,27.4
,,,,Saline County,,,,,Shannon Hills,AR,,1547,,17563,17.563,,154.7
,,,,Lonoke County,,,,,Austin,AR,,683,,6804,6.804,,68.3
,,,,White County,,,,,Bald Knob,AR,,1554,,6990,6.99,,155.4
,,,,Saline County,,,,,Bauxite,AR,,392,,4127,4.127,,39.2
,,,,White County,,,,,Beebe,AR,,1512,,12869,12.869,,151.2
,,,,Saline County,,,,,Benton,AR,,3105,,29978,29.978,,310.5
,,,,Pulaski County,,,,,Roland,AR,,238,,3364,3.364,,23.8
,,,,Saline County,,,,,Benton,AR,,1704,,25056,25.056,,170.4
,,,,White County,,,,,Bradford,AR,,632,,3800,3.8,,63.2
,,,,Saline County,,,,,Bryant,AR,,736,,16485,16.485,,73.6
,,,,Lonoke County,,,,,Cabot,AR,,4321,,37178,37.178,,432.1
,,,,Van Buren County,,,,,Clinton,AR,,1442,,7123,7.123,,144.2
,,,,Faulkner County,,,,,Conway,AR,,5311,,32508,32.508,,531.1
,,,,Faulkner County,,,,,Conway,AR,,8487,,50730,50.73,,848.7
,,,,Faulkner County,,,,,Twin Groves,AR,,454,,2354,2.354,,45.4
,,,,Arkansas County,,,,,De Witt,AR,,1157,,5070,5.07,,115.7
,,,,Faulkner County,,,,,Greenbrier,AR,,2377,,16581,16.581,,237.7
,,,,Saline County,,,,,Hensley,AR,,312,,5098,5.098,,31.2
,,,,Cleburne County,,,,,Greers Ferry,AR,,542,,2545,2.545,,54.2
,,,,Pulaski County,,,,,Jacksonville,AR,,6378,,38780,38.78,,637.8
,,,,White County,,,,,Judsonia,AR,,879,,6953,6.953,,87.9
,,,,Van Buren County,,,,,Fairfield Bay,AR,,93,,2612,2.612,,9.3
,,,,White County,,,,,McRae,AR,,372,,3442,3.442,,37.2
,,,,Faulkner County,,,,,Mayflower,AR,,857,,5606,5.606,,85.7
,,,,Conway County,,,,,Morrilton,AR,,2302,,10913,10.913,,230.2
,,,,Pulaski County,,,,,Maumelle,AR,,2866,,24872,24.872,,286.6
,,,,Pulaski County,,,,,North Little Rock,AR,,2602,,22459,22.459,,260.2
,,,,Pulaski County,,,,,North Little Rock,AR,,3662,,14458,14.458,,366.2
,,,,Pulaski County,,,,,North Little Rock,AR,,4660,,20988,20.988,,466
,,,,Pulaski County,,,,,Sherwood,AR,,3654,,33161,33.161,,365.4
,,,,White County,,,,,Pangburn,AR,,581,,3323,3.323,,58.1
,,,,Saline County,,,,,Paron,AR,,133,,586,0.586,,13.3
,,,,Conway County,,,,,Plumerville,AR,,391,,2678,2.678,,39.1
,,,,Cleburne County,,,,,Quitman,AR,,625,,4709,4.709,,62.5
,,,,Jefferson County,,,,,Redfield,AR,,370,,3573,3.573,,37
,,,,Pulaski County,,,,,Roland,AR,,213,,2419,2.419,,21.3
,,,,White County,,,,,Rose Bud,AR,,393,,2590,2.59,,39.3
,,,,Lonoke County,,,,,Scott,AR,,110,,2519,2.519,,11
,,,,White County,,,,,Searcy,AR,,5662,,36127,36.127,,566.2
,,,,Faulkner County,,,,,Vilonia,AR,,1026,,8902,8.902,,102.6
,,,,Lonoke County,,,,,Ward,AR,,1320,,10183,10.183,,132
,,,,Pulaski County,,,,,Little Rock,AR,,9026,,30559,30.559,,902.6
,,,,Pulaski County,,,,,Little Rock,AR,,3285,,24222,24.222,,328.5
,,,,Pulaski County,,,,,Little Rock,AR,,4346,,22984,22.984,,434.6
,,,,Pulaski County,,,,,Little Rock,AR,,643,,10063,10.063,,64.3
,,,,Pulaski County,,,,,Little Rock,AR,,1574,,16054,16.054,,157.4
,,,,Pulaski County,,,,,Little Rock,AR,,1595,,22331,22.331,,159.5
,,,,Pulaski County,,,,,Little Rock,AR,,607,,13932,13.932,,60.7
,,,,Pulaski County,,,,,Little Rock,AR,,1881,,23299,23.299,,188.1
,,,,Pulaski County,,,,,Little Rock,AR,,1158,,11461,11.461,,115.8
,,,,Crittenden County,,,,,West Memphis,AR,,7519,,24773,24.773,,751.9
,,,,Saint Francis County,,,,,Colt,AR,,412,,1564,1.564,,41.2
,,,,Crittenden County,,,,,Marion,AR,,1951,,15933,15.933,,195.1
,,,,Craighead County,,,,,Jonesboro,AR,,12730,,57220,57.22,,1273
,,,,Craighead County,,,,,Jonesboro,AR,,2635,,26545,26.545,,263.5
,,,,Craighead County,,,,,Bono,AR,,729,,5561,5.561,,72.9
,,,,Craighead County,,,,,Lake City,AR,,666,,3794,3.794,,66.6
,,,,Greene County,,,,,Paragould,AR,,5879,,38308,38.308,,587.9
,,,,Randolph County,,,,,Pocahontas,AR,,2637,,12396,12.396,,263.7
,,,,Sharp County,,,,,Williford,AR,,271,,1160,1.16,,27.1
,,,,Independence County,,,,,Batesville,AR,,4892,,25826,25.826,,489.2
,,,,Sharp County,,,,,Ash Flat,AR,,658,,2808,2.808,,65.8
,,,,Sharp County,,,,,Cave City,AR,,1043,,5250,5.25,,104.3
,,,,Sharp County,,,,,Cherokee Village,AR,,912,,4573,4.573,,91.2
,,,,Cleburne County,,,,,Drasco,AR,,174,,1384,1.384,,17.4
,,,,Sharp County,,,,,Highland,AR,,594,,3989,3.989,,59.4
,,,,Cleburne County,,,,,Heber Springs,AR,,1801,,12139,12.139,,180.1
,,,,Independence County,,,,,Newark,AR,,569,,2343,2.343,,56.9
,,,,Boone County,,,,,Harrison,AR,,4596,,30306,30.306,,459.6
,,,,Carroll County,,,,,Berryville,AR,,1707,,10654,10.654,,170.7
,,,,Marion County,,,,,Bull Shoals,AR,,328,,2312,2.312,,32.8
,,,,Baxter County,,,,,Cotter,AR,,315,,1283,1.283,,31.5
,,,,Carroll County,,,,,Eureka Springs,AR,,359,,3976,3.976,,35.9
,,,,Carroll County,,,,,Eureka Springs,AR,,810,,4175,4.175,,81
,,,,Boone County,,,,,Everton,AR,,234,,1442,1.442,,23.4
,,,,Marion County,,,,,Flippin,AR,,824,,4318,4.318,,82.4
,,,,Baxter County,,,,,Gassville,AR,,690,,4021,4.021,,69
,,,,Carroll County,,,,,Green Forest,AR,,1354,,7585,7.585,,135.4
,,,,Newton County,,,,,Jasper,AR,,681,,2775,2.775,,68.1
,,,,Baxter County,,,,,Lakeview,AR,,169,,1932,1.932,,16.9
,,,,Boone County,,,,,Diamond City,AR,,735,,2758,2.758,,73.5
,,,,Baxter County,,,,,Mountain Home,AR,,2935,,27675,27.675,,293.5
,,,,Baxter County,,,,,Norfork,AR,,403,,1902,1.902,,40.3
,,,,Boone County,,,,,Omaha,AR,,279,,2606,2.606,,27.9
,,,,Marion County,,,,,Yellville,AR,,1272,,6150,6.15,,127.2
,,,,Washington County,,,,,Fayetteville,AR,,10238,,43340,43.34,,1023.8
,,,,Washington County,,,,,Fayetteville,AR,,6337,,32052,32.052,,633.7
,,,,Washington County,,,,,Fayetteville,AR,,3203,,25035,25.035,,320.3
,,,,Benton County,,,,,Bentonville,AR,,3574,,51858,51.858,,357.4
,,,,Benton County,,,,,Bella Vista,AR,,793,,12885,12.885,,79.3
,,,,Benton County,,,,,Bella Vista,AR,,571,,16147,16.147,,57.1
,,,,Benton County,,,,,Cave Springs,AR,,52,,2781,2.781,,5.2
,,,,Benton County,,,,,Centerton,AR,,759,,11242,11.242,,75.9
,,,,Benton County,,,,,Decatur,AR,,733,,3718,3.718,,73.3
,,,,Washington County,,,,,Elkins,AR,,482,,5672,5.672,,48.2
,,,,Washington County,,,,,Farmington,AR,,589,,7568,7.568,,58.9
,,,,Benton County,,,,,Garfield,AR,,381,,4395,4.395,,38.1
,,,,Benton County,,,,,Gentry,AR,,1300,,8388,8.388,,130
,,,,Washington County,,,,,Lincoln,AR,,1152,,5620,5.62,,115.2
,,,,Benton County,,,,,Lowell,AR,,1412,,12980,12.98,,141.2
,,,,Benton County,,,,,Pea Ridge,AR,,634,,7005,7.005,,63.4
,,,,Washington County,,,,,Prairie Grove,AR,,768,,9422,9.422,,76.8
,,,,Benton County,,,,,Rogers,AR,,6369,,40381,40.381,,636.9
,,,,Benton County,,,,,Rogers,AR,,3278,,39727,39.727,,327.8
,,,,Benton County,,,,,Siloam Springs,AR,,3887,,22314,22.314,,388.7
,,,,Washington County,,,,,Springdale,AR,,3595,,40266,40.266,,359.5
,,,,Washington County,,,,,Springdale,AR,,12873,,54717,54.717,,1287.3
,,,,Washington County,,,,,West Fork,AR,,450,,5680,5.68,,45
,,,,Pope County,,,,,Russellville,AR,,5095,,19643,19.643,,509.5
,,,,Pope County,,,,,Russellville,AR,,2775,,21699,21.699,,277.5
,,,,Pope County,,,,,Atkins,AR,,1070,,6295,6.295,,107
,,,,Johnson County,,,,,Clarksville,AR,,3211,,15459,15.459,,321.1
,,,,Yell County,,,,,Danville,AR,,739,,4232,4.232,,73.9
,,,,Yell County,,,,,Dardanelle,AR,,1635,,10681,10.681,,163.5
,,,,Pope County,,,,,Dover,AR,,1055,,6936,6.936,,105.5
,,,,Johnson County,,,,,Hartman,AR,,280,,2278,2.278,,28
,,,,Johnson County,,,,,Knoxville,AR,,117,,1155,1.155,,11.7
,,,,Johnson County,,,,,Lamar,AR,,1002,,3934,3.934,,100.2
,,,,Pope County,,,,,London,AR,,882,,2614,2.614,,88.2
,,,,Yell County,,,,,Ola,AR,,419,,2009,2.009,,41.9
,,,,Pope County,,,,,Pottsville,AR,,845,,4306,4.306,,84.5
,,,,Sebastian County,,,,,Fort Smith,AR,,6975,,21639,21.639,,697.5
,,,,Sebastian County,,,,,Fort Smith,AR,,5667,,25989,25.989,,566.7
,,,,Sebastian County,,,,,Fort Smith,AR,,7407,,22436,22.436,,740.7
,,,,Sebastian County,,,,,Fort Smith,AR,,1890,,13331,13.331,,189
,,,,Sebastian County,,,,,Fort Smith,AR,,497,,7966,7.966,,49.7
,,,,Crawford County,,,,,Alma,AR,,1778,,14323,14.323,,177.8
,,,,Sebastian County,,,,,Barling,AR,,1301,,4819,4.819,,130.1
,,,,Sebastian County,,,,,Greenwood,AR,,1994,,14468,14.468,,199.4
,,,,Sebastian County,,,,,Hackett,AR,,742,,3495,3.495,,74.2
,,,,Sebastian County,,,,,Huntington,AR,,265,,2757,2.757,,26.5
,,,,Sebastian County,,,,,Lavaca,AR,,787,,5488,5.488,,78.7
,,,,Crawford County,,,,,Mountainburg,AR,,404,,3790,3.79,,40.4
,,,,Crawford County,,,,,Mulberry,AR,,1318,,4801,4.801,,131.8
,,,,Crawford County,,,,,Rudy,AR,,573,,2838,2.838,,57.3
,,,,Crawford County,,,,,Van Buren,AR,,6206,,34694,34.694,,620.6
,,,,Oklahoma County,,,,,Edmond,OK,,3028,,24344,24.344,,302.8
,,,,Oklahoma County,,,,,Edmond,OK,,242,,2328,2.328,,24.2
,,,,Oklahoma County,,,,,Bethany,OK,,2985,,20390,20.39,,298.5
,,,,McClain County,,,,,Blanchard,OK,,1477,,19439,19.439,,147.7
,,,,Oklahoma County,,,,,Edmond,OK,,1096,,35177,35.177,,109.6
,,,,Oklahoma County,,,,,Edmond,OK,,3715,,51004,51.004,,371.5
,,,,Grady County,,,,,Chickasha,OK,,3557,,20033,20.033,,355.7
,,,,Oklahoma County,,,,,Choctaw,OK,,1505,,23414,23.414,,150.5
,,,,Oklahoma County,,,,,Edmond,OK,,167,,12126,12.126,,16.7
,,,,Cleveland County,,,,,Norman,OK,,1155,,10357,10.357,,115.5
,,,,Logan County,,,,,Crescent,OK,,621,,3830,3.83,,62.1
,,,,Murray County,,,,,Davis,OK,,551,,4568,4.568,,55.1
,,,,Oklahoma County,,,,,Edmond,OK,,4039,,43646,43.646,,403.9
,,,,Canadian County,,,,,El Reno,OK,,2827,,20410,20.41,,282.7
,,,,Logan County,,,,,Guthrie,OK,,4068,,23349,23.349,,406.8
,,,,Oklahoma County,,,,,Harrah,OK,,854,,10499,10.499,,85.4
,,,,Oklahoma County,,,,,Jones,OK,,645,,6526,6.526,,64.5
,,,,Cleveland County,,,,,Slaughterville,OK,,932,,10469,10.469,,93.2
,,,,Garvin County,,,,,Lindsay,OK,,980,,6618,6.618,,98
,,,,Oklahoma County,,,,,Luther,OK,,451,,3919,3.919,,45.1
,,,,Stephens County,,,,,Marlow,OK,,1534,,10218,10.218,,153.4
,,,,Garvin County,,,,,Maysville,OK,,398,,2360,2.36,,39.8
,,,,Grady County,,,,,Minco,OK,,342,,2934,2.934,,34.2
,,,,Canadian County,,,,,Mustang,OK,,1261,,23140,23.14,,126.1
,,,,McClain County,,,,,Newcastle,OK,,358,,7956,7.956,,35.8
,,,,Grady County,,,,,Ninnekah,OK,,171,,2335,2.335,,17.1
,,,,Cleveland County,,,,,Noble,OK,,1377,,12066,12.066,,137.7
,,,,Cleveland County,,,,,Norman,OK,,4267,,24635,24.635,,426.7
,,,,Cleveland County,,,,,Norman,OK,,9451,,40693,40.693,,945.1
,,,,Cleveland County,,,,,Norman,OK,,5504,,47552,47.552,,550.4
,,,,Garvin County,,,,,Pauls Valley,OK,,1709,,9448,9.448,,170.9
,,,,Canadian County,,,,,Piedmont,OK,,248,,10071,10.071,,24.8
,,,,McClain County,,,,,Purcell,OK,,1589,,9592,9.592,,158.9
,,,,Grady County,,,,,Rush Springs,OK,,440,,3106,3.106,,44
,,,,Murray County,,,,,Sulphur,OK,,1207,,8472,8.472,,120.7
,,,,Grady County,,,,,Tuttle,OK,,562,,12444,12.444,,56.2
,,,,McClain County,,,,,Goldsby,OK,,113,,2853,2.853,,11.3
,,,,McClain County,,,,,Wayne,OK,,240,,1857,1.857,,24
,,,,Garvin County,,,,,Wynnewood,OK,,773,,4550,4.55,,77.3
,,,,Canadian County,,,,,Yukon,OK,,4625,,66693,66.693,,462.5
,,,,Oklahoma County,,,,,Oklahoma City,OK,,631,,4898,4.898,,63.1
,,,,Oklahoma County,,,,,Oklahoma City,OK,,551,,2306,2.306,,55.1
,,,,Oklahoma County,,,,,Oklahoma City,OK,,5812,,25486,25.486,,581.2
,,,,Oklahoma County,,,,,Oklahoma City,OK,,6065,,14564,14.564,,606.5
,,,,Oklahoma County,,,,,Oklahoma City,OK,,6333,,22462,22.462,,633.3
,,,,Oklahoma County,,,,,Midwest City,OK,,6933,,33772,33.772,,693.3
,,,,Oklahoma County,,,,,Oklahoma City,OK,,3622,,11395,11.395,,362.2
,,,,Oklahoma County,,,,,Oklahoma City,OK,,5854,,31948,31.948,,585.4
,,,,Oklahoma County,,,,,Oklahoma City,OK,,5960,,18641,18.641,,596
,,,,Oklahoma County,,,,,Del City,OK,,3152,,21425,21.425,,315.2
,,,,Oklahoma County,,,,,Oklahoma City,OK,,713,,9430,9.43,,71.3
,,,,Oklahoma County,,,,,Oklahoma City,OK,,1819,,13942,13.942,,181.9
,,,,Oklahoma County,,,,,Oklahoma City,OK,,10942,,33358,33.358,,1094.2
,,,,Oklahoma County,,,,,Oklahoma City,OK,,3888,,35936,35.936,,388.8
,,,,Oklahoma County,,,,,Oklahoma City,OK,,415,,3427,3.427,,41.5
,,,,Oklahoma County,,,,,Warr Acres,OK,,2063,,13192,13.192,,206.3
,,,,Oklahoma County,,,,,Oklahoma City,OK,,7138,,25730,25.73,,713.8
,,,,Oklahoma County,,,,,Oklahoma City,OK,,212,,4778,4.778,,21.2
,,,,Oklahoma County,,,,,Midwest City,OK,,1573,,20462,20.462,,157.3
,,,,Oklahoma County,,,,,Oklahoma City,OK,,260,,3564,3.564,,26
,,,,Oklahoma County,,,,,Oklahoma City,OK,,4741,,28149,28.149,,474.1
,,,,Oklahoma County,,,,,Oklahoma City,OK,,280,,4746,4.746,,28
,,,,Oklahoma County,,,,,Oklahoma City,OK,,4187,,22338,22.338,,418.7
,,,,Oklahoma County,,,,,Oklahoma City,OK,,3931,,17783,17.783,,393.1
,,,,Oklahoma County,,,,,Midwest City,OK,,408,,2613,2.613,,40.8
,,,,Oklahoma County,,,,,Oklahoma City,OK,,1346,,14135,14.135,,134.6
,,,,Oklahoma County,,,,,Oklahoma City,OK,,1294,,5144,5.144,,129.4
,,,,Oklahoma County,,,,,Oklahoma City,OK,,366,,4551,4.551,,36.6
,,,,Oklahoma County,,,,,Oklahoma City,OK,,76,,1705,1.705,,7.6
,,,,Oklahoma County,,,,,Oklahoma City,OK,,4255,,33496,33.496,,425.5
,,,,Cleveland County,,,,,Moore,OK,,5276,,58078,58.078,,527.6
,,,,Oklahoma County,,,,,Oklahoma City,OK,,2064,,29366,29.366,,206.4
,,,,Oklahoma County,,,,,Oklahoma City,OK,,429,,6561,6.561,,42.9
,,,,Oklahoma County,,,,,Oklahoma City,OK,,196,,2189,2.189,,19.6
,,,,Oklahoma County,,,,,Oklahoma City,OK,,2016,,37896,37.896,,201.6
,,,,Oklahoma County,,,,,Oklahoma City,OK,,128,,2376,2.376,,12.8
,,,,Oklahoma County,,,,,Oklahoma City,OK,,140,,4868,4.868,,14
,,,,Carter County,,,,,Ardmore,OK,,5885,,36058,36.058,,588.5
,,,,Garvin County,,,,,Elmore City,OK,,428,,2995,2.995,,42.8
,,,,Carter County,,,,,Healdton,OK,,559,,3559,3.559,,55.9
,,,,Marshall County,,,,,Kingston,OK,,1295,,7586,7.586,,129.5
,,,,Carter County,,,,,Lone Grove,OK,,461,,3808,3.808,,46.1
,,,,Bryan County,,,,,Mead,OK,,569,,3170,3.17,,56.9
,,,,Carter County,,,,,Wilson,OK,,554,,3352,3.352,,55.4
,,,,Comanche County,,,,,Lawton,OK,,4477,,20147,20.147,,447.7
,,,,Comanche County,,,,,Lawton,OK,,4702,,22491,22.491,,470.2
,,,,Jackson County,,,,,Altus,OK,,3614,,20917,20.917,,361.4
,,,,Jackson County,,,,,Blair,OK,,347,,2327,2.327,,34.7
,,,,Comanche County,,,,,Cache,OK,,378,,5358,5.358,,37.8
,,,,Stephens County,,,,,Comanche,OK,,643,,5544,5.544,,64.3
,,,,Stephens County,,,,,Duncan,OK,,4145,,27542,27.542,,414.5
,,,,Comanche County,,,,,Elgin,OK,,267,,6108,6.108,,26.7
,,,,Comanche County,,,,,Fletcher,OK,,291,,2778,2.778,,29.1
,,,,Tillman County,,,,,Frederick,OK,,1087,,4464,4.464,,108.7
,,,,Beckham County,,,,,Elk City,OK,,1637,,14966,14.966,,163.7
,,,,Beckham County,,,,,Sayre,OK,,841,,6520,6.52,,84.1
,,,,Garfield County,,,,,Enid,OK,,4935,,24015,24.015,,493.5
,,,,Garfield County,,,,,Enid,OK,,2321,,30089,30.089,,232.1
,,,,Kingfisher County,,,,,Hennessey,OK,,505,,4232,4.232,,50.5
,,,,Kingfisher County,,,,,Kingfisher,OK,,614,,7475,7.475,,61.4
,,,,Kingfisher County,,,,,Okarche,OK,,164,,2059,2.059,,16.4
,,,,Woodward County,,,,,Woodward,OK,,1769,,15289,15.289,,176.9
,,,,Ellis County,,,,,Arnett,OK,,89,,1060,1.06,,8.9
,,,,Woodward County,,,,,Mooreland,OK,,371,,2780,2.78,,37.1
,,,,Beaver County,,,,,Beaver,OK,,270,,2387,2.387,,27
,,,,Washington County,,,,,Bartlesville,OK,,3203,,14247,14.247,,320.3
,,,,Washington County,,,,,Bartlesville,OK,,2342,,26803,26.803,,234.2
,,,,Tulsa County,,,,,Bixby,OK,,1428,,27312,27.312,,142.8
,,,,Creek County,,,,,Bristow,OK,,2165,,10827,10.827,,216.5
,,,,Tulsa County,,,,,Broken Arrow,OK,,2160,,27279,27.279,,216
,,,,Tulsa County,,,,,Broken Arrow,OK,,4782,,62075,62.075,,478.2
,,,,Tulsa County,,,,,Broken Arrow,OK,,2355,,38441,38.441,,235.5
,,,,Rogers County,,,,,Catoosa,OK,,1005,,8667,8.667,,100.5
